airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
Indigo,6E-716,Kolkata,Night,zero,Late_Night,Bangalore,Economy,2.75,11,5840.1
Air India,AI-2401,Mumbai,Night,two_or_more,Afternoon,Delhi,Economy,15.17,44,19788.34
Air_India,AI-402,Kolkata,Morning,one,Late_Night,Bangalore,Business,13.75,43,67075.8
Vistara,UK-870,Hyderabad,Night,one,Evening,Mumbai,Business,19.92,18,106146.2307
GO_FIRST,G8-505,Chennai,Evening,one,Late_Night,Delhi,Economy,7,21,2983.2
Vistara,UK-708,Kolkata,Night,one,Evening,Hyderabad,Business,20.58,22,46487.925
Indigo,6E-6051,Mumbai,Evening,one,Night,Bangalore,Economy,3.75,27,5103
Vistara,UK-874,Hyderabad,Morning,one,Night,Chennai,Business,11.75,48,115013.1222
Air_India,AI-441,Delhi,Evening,one,Morning,Chennai,Business,17.08,37,49284.873
Air_India,AI-865,Delhi,Morning,one,Evening,Bangalore,Economy,7.83,39,4653
Indigo,6E-2181,Delhi,Morning,one,Afternoon,Kolkata,Economy,4.33,37,7486.38
Indigo,6E-6741,Kolkata,Night,one,Late_Night,Hyderabad,Economy,3.92,49,4803.7
AirAsia,I5-798,Delhi,Afternoon,one,Night,Hyderabad,Economy,8.75,30,2255
Vistara,UK-897,Bangalore,Early_Morning,zero,Morning,Hyderabad,Economy,1.17,33,2281.334
Vistara,UK-822,Chennai,Morning,one,Early_Morning,Bangalore,Economy,22.08,14,8194.5
Air_India,AI-888,Mumbai,Evening,one,Afternoon,Kolkata,Business,19.5,16,60167.25
Vistara,UK-873,Mumbai,Early_Morning,one,Night,Delhi,Business,16.5,9,63680.364
GO_FIRST,G8-241,Bangalore,Evening,one,Night,Delhi,Economy,6.17,26,4613.246
Vistara,UK-988,Mumbai,Night,one,Morning,Kolkata,Business,12.67,36,74323.7055
Air_India,AI-687,Mumbai,Afternoon,one,Night,Chennai,Economy,7.58,7,10121.1
Indigo,6E-2348,Delhi,Evening,one,Late_Night,Chennai,Economy,4.92,6,9619.5
Vistara,UK-657,Bangalore,Morning,two_or_more,Morning,Kolkata,Economy,20.83,48,10801.4643
GO_FIRST,G8-364,Mumbai,Evening,one,Night,Delhi,Economy,4.25,31,3656.4
Air_India,AI-766,Chennai,Morning,zero,Afternoon,Kolkata,Economy,2.58,42,2942.5
GO_FIRST,G8-319,Mumbai,Morning,one,Night,Bangalore,Economy,11.5,9,5102
Air_India,AI-763,Kolkata,Early_Morning,zero,Morning,Delhi,Economy,2.25,34,3780.7
Air_India,AI-766,Chennai,Early_Morning,zero,Morning,Kolkata,Business,2.58,29,24200
Vistara,UK-874,Hyderabad,Morning,one,Evening,Delhi,Business,11.25,21,98050.58667
Vistara,UK-875,Mumbai,Evening,zero,Night,Hyderabad,Business,1.58,11,14259.24
Indigo,6E-6217,Chennai,Night,one,Early_Morning,Mumbai,Economy,9,36,4910.059
Air_India,AI-688,Mumbai,Morning,one,Afternoon,Delhi,Economy,6.92,32,7306.2
Indigo,6E-605,Chennai,Afternoon,one,Night,Delhi,Economy,7.67,17,4478.1
Air_India,AI-806,Mumbai,Early_Morning,one,Afternoon,Kolkata,Business,6.5,36,49227.75
Vistara,UK-810,Bangalore,Early_Morning,one,Evening,Mumbai,Business,9.5,13,64850.90396
Indigo,6E-5343,Mumbai,Night,zero,Late_Night,Kolkata,Economy,2.5,16,5443.79
Vistara,UK-814,Bangalore,Night,one,Evening,Hyderabad,Economy,22.67,46,9629.3857
Air_India,AI-504,Delhi,Night,one,Morning,Hyderabad,Economy,11.58,10,11196.9
Vistara,UK-830,Hyderabad,Morning,one,Evening,Mumbai,Economy,6.17,32,8255.47426
Vistara,UK-858,Bangalore,Early_Morning,one,Evening,Kolkata,Economy,13.25,7,15935.6637
AirAsia,I5-1229,Chennai,Evening,one,Late_Night,Delhi,Economy,8.5,34,2783.7
Vistara,UK-970,Mumbai,Morning,one,Night,Kolkata,Economy,14,36,5889.51
GO_FIRST,G8-803,Bangalore,Evening,one,Morning,Mumbai,Economy,13.83,12,11704.6809
Vistara,UK-890,Hyderabad,Evening,one,Evening,Chennai,Business,22.67,28,56550.96632
Vistara,UK-738,Kolkata,Evening,two_or_more,Early_Morning,Mumbai,Business,13.17,18,84503.4597
GO_FIRST,G8-790,Bangalore,Afternoon,one,Night,Hyderabad,Economy,8.17,19,4752.99
Vistara,UK-928,Mumbai,Early_Morning,one,Evening,Bangalore,Business,12.33,34,61823.52
Indigo,6E-6113,Chennai,Afternoon,one,Night,Kolkata,Economy,6.17,18,4995.1
AirAsia,I5-1543,Hyderabad,Afternoon,one,Late_Night,Kolkata,Economy,11.25,25,2015.0856
Air_India,AI-560,Delhi,Morning,one,Afternoon,Bangalore,Business,6.17,12,42942.9
Vistara,UK-825,Mumbai,Morning,zero,Morning,Chennai,Business,2.08,46,26024.922
Air_India,AI-559,Hyderabad,Early_Morning,one,Evening,Mumbai,Business,13.5,23,54413.61324
Vistara,UK-824,Chennai,Night,one,Morning,Delhi,Business,12.08,46,78241.504
Air_India,AI-767,Delhi,Afternoon,one,Night,Bangalore,Economy,8.67,25,9415.8
Vistara,UK-878,Hyderabad,Afternoon,one,Night,Chennai,Business,10.17,33,40086.93289
Vistara,UK-706,Kolkata,Morning,one,Afternoon,Hyderabad,Economy,26.33,17,7722
Indigo,6E-6257,Bangalore,Early_Morning,one,Morning,Mumbai,Economy,3.92,19,5019.201
Indigo,6E-2331,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,6.58,17,4442.9
Vistara,UK-850,Bangalore,Evening,one,Early_Morning,Hyderabad,Business,11.92,4,50144.094
